week_index,week_start,region,product_category,channel,currency,existing_users,base_impressions,base_spend,cpi,ctr,cvr,avg_order_value,engagement_value_per_click,freq_cap_per_user,adstock_decay,sat_curve_basis,sat_alpha,sat_k_half_impr,sat_beta,sat_alpha_spend,sat_k_half_spend,sat_beta_spend,min_spend_this_week,max_spend_this_week,priority_weight
6,2025-07-07,Ontario,Electronics,Social,CAD,166270,9205795,25158.13,0.002733,0.00865,0.017321,239.5,0.4271,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,10063.25,40253.01,0.978
7,2025-07-14,Ontario,Electronics,Social,CAD,177582,10312072,31204.93,0.003026,0.00814,0.01625,245.97,0.4686,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,12481.97,49927.88,0.917
8,2025-07-21,Ontario,Electronics,Social,CAD,195242,11632551,34669.83,0.00298,0.007674,0.01484,241.4,0.4467,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,13867.93,55471.73,0.906
9,2025-07-28,Ontario,Electronics,Social,CAD,191883,8903553,24044.89,0.002701,0.008088,0.014942,259.23,0.4654,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,9617.96,38471.83,1.022
10,2025-08-04,Ontario,Electronics,Social,CAD,196704,9349167,30218.77,0.003232,0.007957,0.015742,243.63,0.4408,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,12087.51,48350.03,1.083
11,2025-08-11,Ontario,Electronics,Social,CAD,162314,10614705,34944.39,0.003292,0.00856,0.016953,254.93,0.4726,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,13977.76,55911.03,1.027
12,2025-08-18,Ontario,Electronics,Social,CAD,162311,12412102,40094.89,0.00323,0.008382,0.017337,258.55,0.4901,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,16037.96,64151.83,0.902
13,2025-08-25,Ontario,Electronics,Social,CAD,200530,9407353,27946.87,0.002971,0.008071,0.015793,247.51,0.4876,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11178.75,44714.99,1.081
1,2025-06-02,Ontario,Electronics,Affiliate,CAD,173918,4900793,30939.81,0.006313,0.017998,0.029682,255.2,0.4346,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9281.94,55691.65,0.926
2,2025-06-09,Ontario,Electronics,Affiliate,CAD,197285,5778296,35624.66,0.006165,0.017261,0.028571,261.36,0.4667,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10687.4,64124.39,1.046
3,2025-06-16,Ontario,Electronics,Affiliate,CAD,197663,4801250,30802.58,0.006416,0.017691,0.028949,260.13,0.4457,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9240.77,55444.64,0.957
4,2025-06-23,Ontario,Electronics,Affiliate,CAD,184643,6831798,41133.55,0.006021,0.016236,0.03183,254.63,0.4873,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,12340.07,74040.39,0.958
5,2025-06-30,Ontario,Electronics,Affiliate,CAD,182922,5295165,31447.11,0.005939,0.017299,0.031779,241.59,0.4135,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9434.13,56604.8,1.031
6,2025-07-07,Ontario,Electronics,Affiliate,CAD,188723,5526050,33208.04,0.006009,0.017896,0.027861,260.17,0.4193,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9962.41,59774.48,1.05
7,2025-07-14,Ontario,Electronics,Affiliate,CAD,197146,5578926,34283.39,0.006145,0.016742,0.03265,258.68,0.4272,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10285.02,61710.1,0.979
8,2025-07-21,Ontario,Electronics,Affiliate,CAD,191886,6356687,35038.63,0.005512,0.017582,0.030947,255.89,0.4089,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10511.59,63069.53,0.92
9,2025-07-28,Ontario,Electronics,Affiliate,CAD,200223,5067889,31175.44,0.006152,0.019699,0.03221,257.98,0.4849,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9352.63,56115.79,0.939
10,2025-08-04,Ontario,Electronics,Affiliate,CAD,178081,5439551,34033.47,0.006257,0.017688,0.03035,238.25,0.4311,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10210.04,61260.25,1.055
11,2025-08-11,Ontario,Electronics,Affiliate,CAD,176686,4971505,27716.71,0.005575,0.018546,0.028406,253.23,0.4455,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,8315.01,49890.08,0.961
12,2025-08-18,Ontario,Electronics,Affiliate,CAD,181602,6271280,39611.78,0.006316,0.016589,0.030281,251.89,0.4794,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,11883.53,71301.2,1.022
13,2025-08-25,Ontario,Electronics,Affiliate,CAD,194615,5531961,34711.72,0.006275,0.018634,0.031175,253.79,0.4135,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10413.52,62481.09,1.099
1,2025-06-02,Ontario,Electronics,Email,CAD,189562,3066069,4612.73,0.001504,0.051934,0.041495,259.2,0.4947,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,922.55,11531.82,0.916
2,2025-06-09,Ontario,Electronics,Email,CAD,196212,2785356,4408.3,0.001583,0.052267,0.041668,240.61,0.4638,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,881.66,11020.75,0.948
3,2025-06-16,Ontario,Electronics,Email,CAD,203652,2996516,4053.38,0.001353,0.05184,0.03836,253.33,0.4152,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,810.68,10133.46,1.094
4,2025-06-23,Ontario,Electronics,Email,CAD,180321,3381042,4923.02,0.001456,0.047359,0.042474,260.01,0.4759,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,984.6,12307.55,0.967
5,2025-06-30,Ontario,Electronics,Email,CAD,181246,3158265,4912.29,0.001555,0.052852,0.039282,252.56,0.4928,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,982.46,12280.73,1.045
6,2025-07-07,Ontario,Electronics,Email,CAD,169616,2865926,3927.58,0.00137,0.053295,0.043191,245.05,0.4338,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,785.52,9818.95,0.999
7,2025-07-14,Ontario,Electronics,Email,CAD,189805,3159011,4895.64,0.00155,0.051632,0.039979,239.16,0.4838,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,979.13,12239.1,1.076
8,2025-07-21,Ontario,Electronics,Email,CAD,175568,3759269,5209.39,0.001386,0.046314,0.04238,247.7,0.4341,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,1041.88,13023.47,1.027
9,2025-07-28,Ontario,Electronics,Email,CAD,179391,3105782,4783.42,0.00154,0.048674,0.042886,242.88,0.4353,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,956.68,11958.54,1.007
10,2025-08-04,Ontario,Electronics,Email,CAD,164793,2778669,3996.26,0.001438,0.051489,0.038782,249.38,0.4243,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,799.25,9990.66,0.961
11,2025-08-11,Ontario,Electronics,Email,CAD,198654,2675476,4085.23,0.001527,0.048207,0.043695,257.18,0.4091,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,817.05,10213.09,1.025
12,2025-08-18,Ontario,Electronics,Email,CAD,194266,3767497,5694.96,0.001512,0.04691,0.039238,258.59,0.4104,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,1138.99,14237.39,1.096
13,2025-08-25,Ontario,Electronics,Email,CAD,202667,3089939,4829.18,0.001563,0.053072,0.03821,256.58,0.4707,6,0.2,impressions,1.0,3300000,0.95,1.0,44000,0.95,965.84,12072.96,0.92
1,2025-06-02,Ontario,Electronics,Online Video,CAD,167695,6694533,44540.88,0.006653,0.002763,0.009534,238.96,0.4411,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,13362.26,75719.5,1.034
2,2025-06-09,Ontario,Electronics,Online Video,CAD,196000,6750146,45841.53,0.006791,0.002702,0.008298,239.59,0.4811,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,13752.46,77930.6,0.948
3,2025-06-16,Ontario,Electronics,Online Video,CAD,175351,5781913,38702.91,0.006694,0.003014,0.008432,250.4,0.4712,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,11610.87,65794.95,1.085
4,2025-06-23,Ontario,Electronics,Online Video,CAD,169168,8473708,65145.53,0.007688,0.002957,0.00979,250.67,0.4309,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,19543.66,110747.41,0.95
5,2025-06-30,Ontario,Electronics,Online Video,CAD,174464,5820189,38309.38,0.006582,0.003171,0.008881,253.78,0.4709,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,11492.81,65125.94,0.944
6,2025-07-07,Ontario,Electronics,Online Video,CAD,172048,5841673,42639.49,0.007299,0.002928,0.009474,254.06,0.4056,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,12791.85,72487.13,0.954
7,2025-07-14,Ontario,Electronics,Online Video,CAD,166036,6385457,40900.47,0.006405,0.002788,0.008839,256.25,0.4759,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,12270.14,69530.79,1.078
8,2025-07-21,Ontario,Electronics,Online Video,CAD,183535,7725034,56288.43,0.007286,0.003279,0.008464,258.55,0.4536,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,16886.53,95690.33,1.002
9,2025-07-28,Ontario,Electronics,Online Video,CAD,168307,6529446,47935.51,0.007341,0.00294,0.009774,243.53,0.4577,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,14380.65,81490.37,0.972
10,2025-08-04,Ontario,Electronics,Online Video,CAD,177048,6352007,41947.36,0.006604,0.003243,0.009121,240.57,0.4516,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,12584.21,71310.52,1.026
11,2025-08-11,Ontario,Electronics,Online Video,CAD,192326,5841676,41270.18,0.007065,0.002741,0.008361,239.05,0.4843,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,12381.05,70159.3,0.978
12,2025-08-18,Ontario,Electronics,Online Video,CAD,196232,8156797,57091.44,0.006999,0.00294,0.009477,255.64,0.4505,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,17127.43,97055.44,1.021
13,2025-08-25,Ontario,Electronics,Online Video,CAD,178146,5771366,44028.14,0.007629,0.003069,0.009521,246.92,0.4569,3,0.7,impressions,1.0,15400000,1.15,1.0,121000,1.1,13208.44,74847.85,0.982
1,2025-06-02,Ontario,Apparel,Paid Search,CAD,172094,9411255,118154.16,0.012555,0.037347,0.055147,80.91,0.2482,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,59077.08,177231.24,0.906
2,2025-06-09,Ontario,Apparel,Paid Search,CAD,195835,8284047,98503.22,0.011891,0.034534,0.057249,84.66,0.2585,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,49251.61,147754.83,0.931
3,2025-06-16,Ontario,Apparel,Paid Search,CAD,167503,8466489,108270.19,0.012788,0.03427,0.056716,87.48,0.2611,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,54135.09,162405.28,0.943
4,2025-06-23,Ontario,Apparel,Paid Search,CAD,193979,11417719,149386.54,0.013084,0.037554,0.058931,81.4,0.2518,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,74693.27,224079.8,1.029
5,2025-06-30,Ontario,Apparel,Paid Search,CAD,166128,8451200,94912.37,0.011231,0.03689,0.053454,82.49,0.2256,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,47456.19,142368.56,0.964
6,2025-07-07,Ontario,Apparel,Paid Search,CAD,205694,8177209,104791.37,0.012815,0.035897,0.059339,82.9,0.2317,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,52395.68,157187.05,1.01
7,2025-07-14,Ontario,Apparel,Paid Search,CAD,184722,8525949,100166.76,0.011748,0.032778,0.058748,88.39,0.238,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,50083.38,150250.14,1.079
8,2025-07-21,Ontario,Apparel,Paid Search,CAD,197149,11326997,128360.49,0.011332,0.037581,0.055818,84.18,0.2738,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,64180.24,192540.73,0.99
9,2025-07-28,Ontario,Apparel,Paid Search,CAD,177312,8678663,108370.56,0.012487,0.035224,0.054218,87.99,0.2504,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,54185.28,162555.83,0.935
10,2025-08-04,Ontario,Apparel,Paid Search,CAD,190051,9473024,120512.59,0.012722,0.038075,0.052977,86.83,0.2645,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,60256.29,180768.88,1.08
11,2025-08-11,Ontario,Apparel,Paid Search,CAD,199403,9197218,116376.64,0.012653,0.032674,0.056394,83.06,0.262,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,58188.32,174564.97,0.963
12,2025-08-18,Ontario,Apparel,Paid Search,CAD,169289,10901366,137070.47,0.012574,0.036271,0.052847,84.69,0.2549,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,68535.24,205605.71,0.936
13,2025-08-25,Ontario,Apparel,Paid Search,CAD,195197,8637890,110882.28,0.012837,0.032043,0.056299,80.93,0.2283,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,55441.14,166323.42,0.932
1,2025-06-02,Ontario,Apparel,Display,CAD,189495,12146950,47606.82,0.003919,0.003817,0.011357,82.66,0.2426,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,19042.73,76170.92,0.916
2,2025-06-09,Ontario,Apparel,Display,CAD,171967,12152335,52834.13,0.004348,0.00411,0.011945,83.21,0.2613,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,21133.65,84534.61,1.081
3,2025-06-16,Ontario,Apparel,Display,CAD,184486,11195564,41610.38,0.003717,0.003993,0.012429,82.94,0.2543,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,16644.15,66576.61,0.975
4,2025-06-23,Ontario,Apparel,Display,CAD,166236,14315933,51590.16,0.003604,0.004112,0.011969,86.27,0.2461,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,20636.06,82544.25,0.944
5,2025-06-30,Ontario,Apparel,Display,CAD,188499,10638008,41977.69,0.003946,0.003779,0.013045,81.11,0.2319,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,16791.08,67164.3,0.937
6,2025-07-07,Ontario,Apparel,Display,CAD,181500,12130090,51469.2,0.004243,0.003999,0.011688,83.47,0.2479,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,20587.68,82350.72,1.059
7,2025-07-14,Ontario,Apparel,Display,CAD,170044,12556884,50267.54,0.004003,0.004129,0.011785,88.97,0.2581,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,20107.01,80428.06,0.997
8,2025-07-21,Ontario,Apparel,Display,CAD,165318,14622003,63958.56,0.004374,0.004327,0.011574,81.58,0.2701,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,25583.42,102333.7,1.076
9,2025-07-28,Ontario,Apparel,Display,CAD,182787,10713348,39732.01,0.003709,0.003802,0.010853,86.35,0.2739,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,15892.8,63571.22,0.936
10,2025-08-04,Ontario,Apparel,Display,CAD,184999,12482981,47333.88,0.003792,0.004196,0.011083,82.42,0.2526,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,18933.55,75734.21,0.912
11,2025-08-11,Ontario,Apparel,Display,CAD,188625,12187707,45164.29,0.003706,0.004051,0.012714,81.37,0.2344,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,18065.72,72262.86,1.008
12,2025-08-18,Ontario,Apparel,Display,CAD,167548,15022115,65687.32,0.004373,0.0038,0.011597,82.8,0.2701,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,26274.93,105099.72,0.993
13,2025-08-25,Ontario,Apparel,Display,CAD,203430,12414837,53268.46,0.004291,0.004359,0.011805,82.93,0.2535,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,21307.38,85229.53,0.997
1,2025-06-02,Ontario,Apparel,Social,CAD,176450,9253489,26390.34,0.002852,0.008224,0.01441,83.12,0.2297,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,10556.14,42224.54,1.094
2,2025-06-09,Ontario,Apparel,Social,CAD,164501,9964712,32812.13,0.003293,0.00827,0.015763,82.05,0.2488,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,13124.85,52499.41,1.043
3,2025-06-16,Ontario,Apparel,Social,CAD,186997,9980907,27904.76,0.002796,0.00736,0.014849,88.65,0.2592,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11161.9,44647.61,0.959
4,2025-06-23,Ontario,Apparel,Social,CAD,198796,11557807,32214.49,0.002787,0.008193,0.015712,86.61,0.2315,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,12885.8,51543.19,1.032
5,2025-06-30,Ontario,Apparel,Social,CAD,205617,9699772,28495.68,0.002938,0.00821,0.015738,86.62,0.262,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11398.27,45593.09,1.091
6,2025-07-07,Ontario,Apparel,Social,CAD,202526,9823215,29724.66,0.003026,0.00786,0.017026,85.1,0.2277,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11889.87,47559.46,1.056
7,2025-07-14,Ontario,Apparel,Social,CAD,178415,9833988,28666.76,0.002915,0.008458,0.014912,82.73,0.2408,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11466.7,45866.82,1.012
8,2025-07-21,Ontario,Apparel,Social,CAD,199205,11092071,30583.52,0.002757,0.007902,0.015317,88.33,0.2256,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,12233.41,48933.64,1.099
9,2025-07-28,Ontario,Apparel,Social,CAD,172658,9809324,27819.38,0.002836,0.008363,0.014449,89.01,0.2654,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11127.75,44511.01,0.903
10,2025-08-04,Ontario,Apparel,Social,CAD,168977,10087929,27369.55,0.002713,0.007233,0.016358,89.2,0.2342,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,10947.82,43791.28,1.008
11,2025-08-11,Ontario,Apparel,Social,CAD,203471,9771028,29810.94,0.003051,0.007329,0.016854,81.48,0.2674,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11924.38,47697.51,1.083
12,2025-08-18,Ontario,Apparel,Social,CAD,196634,11674959,32369.7,0.002773,0.008673,0.014649,89.15,0.2494,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,12947.88,51791.51,0.953
13,2025-08-25,Ontario,Apparel,Social,CAD,184107,9512053,30158.52,0.003171,0.008364,0.017079,83.08,0.2451,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,12063.41,48253.63,0.933
1,2025-06-02,Ontario,Apparel,Affiliate,CAD,191840,5037338,30415.7,0.006038,0.017829,0.030065,87.72,0.2509,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9124.71,54748.26,1.059
2,2025-06-09,Ontario,Apparel,Affiliate,CAD,187889,5761960,32130.57,0.005576,0.01735,0.030872,83.66,0.2705,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9639.17,57835.02,1.04
3,2025-06-16,Ontario,Apparel,Affiliate,CAD,181026,4868246,29150.39,0.005988,0.019274,0.032751,85.52,0.2458,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,8745.12,52470.71,1.058
4,2025-06-23,Ontario,Apparel,Affiliate,CAD,202509,6370445,34793.84,0.005462,0.019098,0.032354,85.23,0.2304,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10438.15,62628.92,0.999
5,2025-06-30,Ontario,Apparel,Affiliate,CAD,164904,5138530,30318.31,0.0059,0.018931,0.027386,86.48,0.2317,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9095.49,54572.96,1.03
6,2025-07-07,Ontario,Apparel,Affiliate,CAD,185321,5406178,35516.14,0.00657,0.019695,0.031962,87.94,0.2678,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,10654.84,63929.06,0.981
7,2025-07-14,Ontario,Apparel,Affiliate,CAD,194798,5831727,31884.79,0.005467,0.019145,0.028092,88.81,0.2252,4,0.4,impressions,1.0,6600000,1.0,1.0,66000,1.0,9565.44,57392.63,0.966
